Tweets,Effectiveness,Intensity,Polarity,Annotated By,Date
#Exclusive Government Should Avoid Cuts in Direct Taxes In Budget 2023: Veteran Economist Lord Meghnad Desai in an exclusive conversation with me #Budget2023 #Budget2023Expectations #UnionBudget2023 #BreakingNews #Economy #Inflation #Taxes #MeghnadDesai,2,2,-0.5,Deena Nath,13/03/2023
#BudgetDayOnTimesNow #Budget2023: Brokerages expect Union Budget 2023-24 to continue capex growth momentum.,2,2,1,Deena Nath,14/03/2023
Todayâ€™s Bank Nifty Move 38680 ~40789 Again 40789~ 38419 ðŸ˜ƒ 38419~ 40471 ðŸ˜€ Trailer of #Budget2023,-1,3,1,Deena Nath,14/03/2023
"In run up to the #UnionBudget2023, CII highlights recommendations for building a world class #business ecosystem. #CIIRecommends creation of cross-ministry compliance commission. #CII4Budget2023 #PreBudget #Budget2023 @nsitharamanoffc @nsitharaman @FinMinIndia",1,3,1,Deena Nath,14/03/2023
"#Budget2023 | The survey found that with job losses and hiring sentiment turning negative, 52 per cent respondents feel that the economic uncertainty will persist for the next 6-12 months. #BudgetWithHT",2,4,-1,Deena Nath,14/03/2023
"Will #UnionBudget2023 relax taxes to provide relief during retirement? Decode the fine print of #budget2023 with CNBC-TV18, India's Budget Headquarters. Tune in on Feb 1, 7 am onwards. @ShereenBhan @bandhanbank_in #BudgetWithCNBCTV18 #ResilienceToResurgence #CountdownToBudget",0,2,0,Deena Nath,14/03/2023
"ðŸ’¬ Check out our Managing Director, Harsha Solankiâ€™s quote on @EconomicTimes Budget 2023 Expectations Highlights: â€œTelecom industry expects GST relaxations, CapEx incentives.â€ âž¡ï¸ðŸ”— #Worldsconnected #Budget2023 #India #economics #business #telecoms #cx",,,,Deena Nath,14/03/2023
"As the fintech industry awaits The Union Budget 2023, our CEO and Co-founder @_sinhaakash shares his expectations with @EconomicTimes. ðŸ”— #unionbudget #budget #budget2023 #digitalpayments #payments #fintech",-1,1,0,Deena Nath,14/03/2023
When fine dine is important but trying to make sensational news is priority #aajtak #budget2023,-2,2,0,Deena Nath,14/03/2023
"With #Budget2023 just around the corner, it will be interesting to see how the govt represents different allocations. Instead of absolute numbers, the % of #GDP component is a more accurate measuring representative tool for citizens to use with clarity.",1,3,-0.5,Deena Nath,14/03/2023
Will new Budget Benifitial to startups? Comment your Views. #Budget2023,0,2,0,Deena Nath,14/03/2023
#Pharma as #BTST #COncor 630 CE added @21.30..... as BTST trade.. short covering before #budget2023. Lets see..,0,2,0,Deena Nath,14/03/2023
All India Radio's News Services Division to broadcast #Budget2023 -2024 coverage from 1st February from 10.10 AM. â–¶ï¸LIVE on our Youtube channel: @FinMinIndia @nsitharaman @nsitharamanoffc,-2,2,0,Deena Nath,14/03/2023
"#Budget2023: Is It The Right Time To Focus On Asset Monetisation To Generate Funds To Finance Infra Projects? Know More, my take for @abplive #writingcommunity #EconTwitter #Budget #infrastructure #nmp #assetmonetisation #nationalmonetisationpipeline",2,3,-0.5,Deena Nath,14/03/2023
Budget 2023: Varanasi hand-loom employees insert hope on obtaining electricity subsidy Read more: #budget #budget2023 #unionbudget2023 #unionbudget,1,1,1,Deena Nath,14/03/2023
Some Data Ahead of #Budget2023 : India has 7 taxpayers for every 100 ranking us 13th amongst 18 of our democratic G-20 peers.,1,2,-0.5,Deena Nath,14/03/2023
"#BudgetWithMC | Think budget, think Moneycontrol! Your one-stop destination for real-time updates, sharp analyses quick explainers ðŸ”¥ Join us as we interpret #Budget2023 how it impacts your life Watch the LIVE coverage on Feb 1, 7:30 am onwards ðŸ‘‡",-2,2,0,Deena Nath,14/03/2023
#BudgetWithMC: As the Union Budget is just around the corner we hit #Delhi streets to test people's knowledge about some key terms related to the Budget. ðŸŽ¤ So let's see how much Delhiites know about the Fiscal Policy ðŸ‘‡ @PapnejaRakta #Budget2023,-1,3,0,Deena Nath,14/03/2023
"#RisingBharatSummit | At 4 PM, join us for the #PanelDiscussion on 'Can GoI provide a model to build a resilient #MSME sector?' Watch here: #BudgetWithET #BudgET2023",-2,2,0,Deena Nath,14/03/2023
"Don't look at Market, because share market not in our control:- Gautam Adani #AdaniGroup #AdaniFPO #AdaniEnterprises #LIC #SEBI #HindenburgExposed #Budget2023 #Nifty50 #Nationalism #Hindenburg #HidenburgReport",2,3,-1,Deena Nath,14/03/2023
"WATCH || In the forthcoming #Budget , People are hopeful to get new AIIMS and seek an extension of #AyushmanBharat card facility @FinMinIndia @MoHFW_INDIA #BudgetSession #budget2023 #BudgetWithDDNews",2,3,1,Deena Nath,14/03/2023
"#BudgET2023 #RisingBharatSummit | At 4 PM, join us for the #KeynoteSpeech by Sudarshan Chari, Head-Business Banking, @DBSBankIndia on 'Bridging the credit gap for MSMEs in India' | #MSME #Episode12",1,2,0.5,Deena Nath,14/03/2023
#CREDAI #recommends the government to incentivize homeowners by exempting 100 pc of the rental income up to Rs 20 lakh per annum #Budget #recommendation #budget2023 #BudgetSession #Budget2023Expectations #FinanceMinister,2,3,1,Deena Nath,14/03/2023
"In upcoming BUDGET 2023... #ev #budget2023 #batteries #financeminister,#budgetfashion #budgetplanner #budgetlife #mybudgettravel #budgetbeauty #budgetmeals #slayonbudget #budgetstyle #veganonabudget #budgetingtips #luxuryinteriorsonabudget #pelaminbudget #decoratingonabudget",-2,2,0,Deena Nath,14/03/2023
ðŸ‡®ðŸ‡³ Union Budget: 10 Key Numbers To Know #i2mf #budget #budget2023 #nirmalasitaraman #unionbudget,-2,2,0,Deena Nath,14/03/2023
"Mr. Nalin Bhandari shares his expectations in the light of the suffering that people went through during the pandemic. For life insurance premium, he seeks separate tax deduction and lower GST. Read his article here &gt;&gt; #Taxsutra #budget2023",2,3,-0.5,Deena Nath,14/03/2023
"Govt should extend PLI scheme to new sectors to boost manufacturing, say experts @yuthikabhargava reports for ThePrint #Budget2023",2,3,-0.5,Deena Nath,14/03/2023
Our partner Shruti K.P expresses her anticipation for a more straightforward capital gains #tax system in the upcoming #UnionBudget2023 Read more- #IndusLaw #Budget2023 #IndusLawBugdet2023 #TaxReform #Simplification,2,4,1,Deena Nath,14/03/2023
"#MakeInclusionReal #budget2023 Ahead of budget, survey finds elderly want FM to devise schemes that meaningfully engage d retired; demand for enhancing pensions remain key focus. With elderly population on rise there is demand for a dedicated ministry.1/2",2,4,-1,Deena Nath,14/03/2023
"In this article on @firstpost , Mr. @NarendraSolanki gives his views on how sectors like Healthcare, automotive, infrastructure, manufacturing, and metals might be in focus this Budget. Click here to read the article - #AnandRathi #budget2023",1,3,1,Deena Nath,14/03/2023
"The new Parliament of India is a momentous occasion and I'm excited to witness the first address by Hon' President Murmu Ji FM Smt Nirmala Sitharaman Ji. #Budget2023 will bring many positive changes for our nation, and we look forward to its impact on India's #History! #Budget",2,4,1,Deena Nath,14/03/2023
"#BLPodcast: What can we expect from this upcoming Budget for the Infrastructure sector? Abhaya Agarwal, Leader â€“ Infrastructure, Government and Public sector, @EY_India, explains. #Budget2023",1,2,0.5,Deena Nath,14/03/2023
"@firstpost #Budget2023: Fintech should be given #infrastructure #industry and #priority status, #Fintech should be considered new-age infra, writes @VishalMehta__ MD, @InfibeamAvenues Ltd. #UnionBudget @nsitharaman @nsitharamanoffc @FinMinIndia",1,3,0.5,Deena Nath,14/03/2023
It's incredible that We've a new #Parliament and that Hon' President #Murmu Ji FM Smt Nirmala Sitharaman Ji will be addressing it for the first time. This is a milestone in India's #history can't wait to see what it brings! #Budget #Budget2023,2,4,1,Deena Nath,14/03/2023
Families doing the math a week before budget is announced: #Memes #DailyMemes #Budget #Budget2023 #UnionBudget2023 #UnionBudget,2,3,-0.5,Deena Nath,14/03/2023
