,created_at,text,source,name,username,location,verified,description
0,2022-12-31 21:51:47+00:00,@GoogleDevsIN Let’s connect and collaborate. Building @assembleteams Looking for #devops leaders and team. #buildinpublic #opendev #DigitalIndia #developers #productmanagement #PM #MLOps,None,Uday Teki,theudayteki,"San Diego, CA",False,Founded @buildrural | @assembleteams | Building $1B SAAS & PAAS portfolio with VCs DevOps PMs STEM Community • Products • Stories • Podcasts | DMs Open
1,2022-12-31 21:38:00+00:00,"JioPages wishes you all a happy new year 🥳🥳🥳
Now available on phone and TV!

#HappyNewYear #NewYearsEve #NewYearsHonours #2023NewYear #indian #madeinindia #DigitalIndia #android #androidbrowser #browser #jiopages #reliance #RelianceIndustries #RelianceJio #jio #jiotogether https://t.co/ow7oAXJOO8",None,JioPages,JioBrowser,"Navi Mumbai, India",True,"JioBrowser is now JioPages - Browse your favorite #Websites faster, with latest #News, #Videos, #Cricket score & many more in 13 #Indian #Languages!!"
2,2022-12-31 20:55:19+00:00,"Croma Year End Sale through CSC Grameen eStore...

4K Ultra HD LED Smart TV(50 inches), VLE App Price: Rs. 24,490...

Order Now on VLE App!!

#CSC #DigitalIndia #RuralEmpowerment #CSCGrameenEStore #YearEndSale https://t.co/mA6Hb0bt5a",None,C S C centre,RAM50224445,None,False,Csc all in one
3,2022-12-31 20:31:26+00:00,@kayezad 6 passport photos #wth what for we are saying or referring to #digitalindia can’t they just do #KYC @RBI any reason why 6 or less but still not making india #digital,None,Kru_hdbloke,itskrish6,"Sydney, New South Wales",False,Me: A human but traces of primates features still exists in my genes. my own views expressed  🇦🇺🇮🇳
4,2022-12-31 20:05:59+00:00,"@jkssbofficial should play cricket or tennis not with the future of youth.

#jkssb #indiaagainstcheating #digitalIndia #JammuAndKashmir #youthagainstcorruption #Paperleak #failedAdministration #JKssbcheats https://t.co/qwiPKbWClS",None,Ashwani Sharma,Ashwaniks1,"Columbus, OH",False,Bio mai kya rakha hai..?
5,2022-12-31 20:01:00+00:00,#Justice Against #COVID19Genocide Must Begin Now Says Visionary @IMPraveenDalal https://t.co/ZNX450he84. #DigitalIndia @_Perry4Law @WhatsAppLaws @_OfficialECI @_FairElection,None,PTLB,_PTLB,None,False,"@PTLB Is The Premier #TechnoLegal #LegalTech Segment Of @P4LOIndia. #PTLB Is Managing Many #OnlineEducation, #Training And #EduTech/#EdTech Projects Of P4LO."
6,2022-12-31 19:49:37+00:00,Streami Virtual School Would Expose The #GlobalWarming Hoax With Online Course https://t.co/ye4FsDoEfe. @StreamiSchool Is World Renowned For Teaching #RealScience And Exposing Hoaxes Like #Covid19 And #FakeScience Says Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law @_PTLB,None,PTLB Virtual School,PtlbSchool,Delhi,False,@PTLBSchools manage online #skillsdevelopment initiatives like #VirtualSchool of @StreamiSchool that is the #FirstVirtualSchool of India established in 2019/20.
7,2022-12-31 19:46:21+00:00,"#COP27 And #GlobalWarming Hoax Have Failed Miserably As Public Has Awakened https://t.co/PEFiru8s5x. Similarly, #Covid19 Hoax Has Been Exposed And #Justice Would Follow Soon In One Form Or Other Says Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law @_PTLB @WhatsAppLaws @_ETax",None,ARkidzoo,ARkidzoo,"Mumbai, India",False,"ARkidzoo is a brand that offers an interactive-fun based learning products. AR to make learning entertaining, curiosity and interest among children."
8,2022-12-31 19:30:24+00:00,"𝐇𝐀𝐏𝐏𝐘 𝐍𝐄𝐖 𝐘𝐄𝐀𝐑 𝟐𝟎𝟐𝟑

Order Online: https://t.co/8VzJIfMW6Z
#newyear2023 #celebration #india #arkidzoo #dropiz #learningtoy #arlearning #digitalindia https://t.co/1JNI2MSQA2",None,T20 India 2023,T20org,India,True,Think20 (T20) is an official Engagement Group of the @G20org. It serves as an “idea bank” by bringing together think tanks and high-level experts.
9,2022-12-31 19:30:00+00:00,".@samirsaran @asarma2710: To share &amp; benefit from development #data, it must be accessible, of high-quality &amp; offered in real time. India at #G20 has much to offer as this will build on principles governing #DigitalIndia initiative @orfonline #G20D4D https://t.co/7iBRXEURT0",None,Indian Elections,_FairElection,"New Delhi, India",False,"Working To Ensure #FairElections And #FairPolitics In India. Will Cover #Corruption, #Hatred, #Communalism, #Criminalisation, Etc Of And By Indian Politicians."
